Fecha;F_Alim;T_Alim;T_Vap;P_Vap;T_Acond;t_ret;H_Pelt;T_Pelt;Fn;PDI;DGM;Prodt;Q_Vap;M_Vap;H_Add
2/01/2019;22;23.9;170;108.5;74;98;11.8;30.65;3.7;94.4;3582;91.887;897.07;2.15;8.91
2/01/2019;22.52;23.8;171;111;77.5;92;12.2;28.4;5.5;92;3494;89.425;984.26;2.38;9.55
3/01/2019;23.93;25.04;170;106.5;72.38;99.75;11.78;31.83;2.74;94.43;3852;92.252;922.01;2.2;8.42
3/01/2019;27.91;24.91;170;110;78.14;92.86;11.97;29.51;3.89;92.72;3753.14;90.557;1209.15;2.91;9.45
4/01/2019;28.87;26.5;170;107.75;74.5;95;12.73;33.58;6.73;92.18;3136;90.761;1127.85;2.7;8.55
4/01/2019;25.7;26.55;170;110;77.25;92;12.75;31.18;7.9;92.4;3008;90.436;1060.49;2.55;9.04
7/01/2019;26.88;27;168;103;76.6;95;12.08;32.32;3.02;91.76;3983.4;90.972;1085.12;2.56;8.7
7/01/2019;26.58;27.2;170;108.33;78;95;12.4;32.1;2.63;92.2;3993.33;93.226;1098.96;2.63;9.02
8/01/2019;26.34;27.5;170;110;74;95;12.4;33.43;5.63;92.02;3371.67;92.315;996.86;2.4;8.35
8/01/2019;24.89;27.38;170;110;79;95;12.35;32.03;6.18;91.96;3273;92.527;1045.7;2.52;9.19
9/01/2019;29.89;26.63;170;108.5;75.5;95;12.55;32.63;2.55;91.8;3968;92.451;1188.87;2.85;8.71
9/01/2019;29.18;25.67;170;110;77.33;93;12.57;30.77;2.73;91.73;3972.33;91.9;1226.89;2.96;9.2
10/01/2019;24.3;24.78;170;106.25;76;95;12.85;30.33;5.3;91.2;3593.5;89.517;1013;2.41;9.04
10/01/2019;24.69;24.83;170;108.57;77.29;92.86;12.97;29.71;4.24;91.67;3646.71;92.162;1054.18;2.53;9.29
11/01/2019;29.25;16.1;148.51;90.01;62.44;83.13;10.6;19.1;1.6;91.2;2222.99;92.591;1103.18;2.51;7.91
11/01/2019;29.38;16.1;148.51;90;62.44;83.13;10.6;19.1;1.6;91.2;2222.86;91.279;1108.08;2.52;7.91
12/01/2019;32.33;23.75;170;104;73.5;95;12.4;30;2.2;91.5;3950;89.29;1309.07;3.1;8.75
12/01/2019;32.02;23.85;170;110;76.5;92;12.5;28.65;2.3;91.6;3942;93.41;1372.1;3.3;9.36
14/01/2019;28.81;23.87;170.83;107.17;75.5;95;12.33;29.58;5.33;91.6;3430.17;92.674;1210.63;2.89;9.12
14/01/2019;24.24;24.02;170;104.8;76;94.4;12.54;28.72;5.28;91.5;3488.4;92.766;1025.5;2.43;9.13
15/01/2019;27.53;24.03;170;108;74.33;95;12.5;30.8;5.73;92.1;3379.67;89.951;1127.04;2.7;8.93
15/01/2019;26.04;24.23;170;112.5;78.75;95;12.65;28.7;7.25;91.97;3181.5;90.488;1155.48;2.8;9.72
16/01/2019;32.09;23.8;170;105;78;95;12.5;27.9;2.8;91.4;4018;91.83;1415.58;3.36;9.48
16/01/2019;30.54;24.2;170;110;72;95;12.8;29.9;6.2;92.21;3485;92.239;1188.12;2.86;8.57
17/01/2019;32.07;23.62;169;100;74.2;95;12.6;29.56;3.04;91.24;4010;93.49;1320.21;3.09;8.79
17/01/2019;32.1;23.78;168.75;105;78.25;95;12.63;28.05;2.73;91.45;4018;90.191;1423.07;3.38;9.53
21/01/2019;25.7;26.63;170;103.75;76;95;12.75;31.8;2.53;91.75;4002;91.249;1032.67;2.44;8.68
21/01/2019;29.68;26.13;170;107.5;79.5;95;12.45;30.93;2.15;92.6;4033;93.282;1289.22;3.08;9.41
22/01/2019;30.03;24.13;170;101;75.33;95;12.6;30.33;6.1;92.28;3229;91.838;1251.38;2.94;8.91
22/01/2019;27.68;24.17;170;110;79;95;12.6;29;7.2;92.11;3165;90.295;1235.23;2.98;9.71
23/01/2019;26.63;23.27;170;103.33;78;95;12.73;29.43;3.5;91.2;3987.33;91.842;1186.21;2.8;9.53
23/01/2019;29.19;23.27;170;109.33;78.67;95;12.57;28.07;3.07;91.8;4001.33;89.94;1316.16;3.16;9.78
24/01/2019;30.44;24.55;170;106.5;77.5;95;12.35;30.7;3.3;91.5;3993;90.143;1311.82;3.13;9.32
24/01/2019;25.76;25;170;110;79;95;12.4;29.7;2.2;92.4;4010;93.894;1132.15;2.73;9.57
25/01/2019;29.03;23.57;170;106.67;77.33;94.67;12.4;29.33;5.73;92.54;3219.67;89.414;1270.2;3.03;9.45
25/01/2019;28.07;23.57;170;109.67;78;92;12.53;28.1;6.13;92.44;3113.33;93.687;1243.5;2.99;9.63
28/01/2019;27.89;25.64;168;100.2;74.2;95.2;12.24;31.98;4.6;91.27;3753.4;90.695;1102.28;2.58;8.48
28/01/2019;27.26;25.64;168.4;105.2;77.6;92;12.16;30.18;4.44;91.8;3763.8;90.531;1152.82;2.74;9.13
29/01/2019;31.2;25.4;166;95;78.5;95;12.05;31.3;6.5;92.6;3407;90.249;1348.39;3.11;9.07
29/01/2019;17.67;25.4;166;105;76;95;12.05;30.05;6.6;91.76;3424;93.316;727.7;1.73;8.91
30/01/2019;33.58;26.27;170;105.67;78.67;94.33;12.13;32.63;3.28;91.4;3972.17;93.482;1432.11;3.41;9.21
30/01/2019;27.62;26.6;170;110;79.75;92;12.13;31.1;3.15;91.7;3985;93.391;1194.79;2.88;9.44
31/01/2019;28.8;24.97;170;103;78.67;95;12.2;30.37;5.8;92.3;3228.33;90.305;1258.73;2.97;9.36
31/01/2019;29.19;24.97;170;104;78;95;12;29.4;6.03;92.38;3364.5;89.293;1259.86;2.98;9.27
1/02/2019;26.23;26.3;170;100;78;95;12;32;2.3;91.3;3950;88.99;1103.71;2.58;8.97
1/02/2019;32;26;170;105;79;95;12.2;30.8;2.6;91.6;3958;92.889;1380.36;3.28;9.29
2/02/2019;31.89;25.25;170;100;78;95;12.6;30.75;2.5;91.4;3950;91.033;1369.12;3.21;9.14
2/02/2019;32.09;25.25;170;105;79.5;95;12.5;29.8;2.1;91.7;3958;88.051;1416.88;3.37;9.49
4/02/2019;34.03;26.42;167.6;98.2;78.6;95;12.72;32.44;2.7;91.48;3952.6;92.692;1445.21;3.37;9
4/02/2019;27.86;26.42;168.4;102;79;95;12.74;30.66;2.46;92.04;3987;90.528;1192.25;2.81;9.16
5/02/2019;24.69;25.85;170;104;79;95;12.7;32.1;4.8;91.6;3497;92.392;1068.04;2.53;9.29
5/02/2019;24.69;25.85;170;110;80;95;12.65;30.2;4.2;91.8;3498;89.534;1088.14;2.62;9.6
